geocod,geodsg,valor,municip,ars,nuts3,aces2,nuts1,nuts2,cod_geo_nuts2002
11E0412,Vinhais,48.63,Vinhais,Norte,Terras de Trás-os-Montes,ULS Nordeste,Continente,Norte,1180412
16B1001,Alcobaça,80.27,Alcobaça,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1001
16B1101,Alenquer,93.71,Alenquer,Lisboa e Vale do Tejo,Oeste,ACeS Estuário do Tejo,Continente,Centro,16B1101
16B1102,Arruda dos Vinhos,90,Arruda dos Vinhos,Lisboa e Vale do Tejo,Oeste,ACeS Estuário do Tejo,Continente,Centro,16B1102
16B1005,Bombarral,73.73,Bombarral,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1005
16B1104,Cadaval,66.45,Cadaval,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1104
16B1006,Caldas da Rainha,103.55,Caldas da Rainha,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1006
16B1108,Lourinhã,80.44,Lourinhã,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1108
16B1011,Nazaré,97.76,Nazaré,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1011
16B1012,Óbidos,76.7,Óbidos,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1012
16B1014,Peniche,91.7,Peniche,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Norte,Continente,Centro,16B1014
16B1112,Sobral de Monte Agraço,75.99,Sobral de Monte Agraço,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1112
16B1113,Torres Vedras,89.53,Torres Vedras,Lisboa e Vale do Tejo,Oeste,ACeS Oeste Sul,Continente,Centro,16B1113
16D0101,Águeda,76.84,Águeda,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610101
16D0102,Albergaria-a-Velha,75.54,Albergaria-a-Velha,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610102
16D0103,Anadia,71.15,Anadia,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610103
16D0105,Aveiro,125.28,Aveiro,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610105
16D0108,Estarreja,73.17,Estarreja,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610108
16D0110,Ílhavo,90.17,Ílhavo,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610110
16D0112,Murtosa,69.41,Murtosa,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610112
16D0114,Oliveira do Bairro,77.12,Oliveira do Bairro,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610114
16D0115,Ovar,81.54,Ovar,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610115
16D0117,Sever do Vouga,62.32,Sever do Vouga,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610117
16D0118,Vagos,67.37,Vagos,Centro,Região de Aveiro,ACeS Baixo Vouga,Continente,Centro,1610118
16E0601,Arganil,58.87,Arganil,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640601
16E0602,Cantanhede,71.22,Cantanhede,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620602
16E0603,Coimbra,137.64,Coimbra,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620603
16E0604,Condeixa-a-Nova,82.3,Condeixa-a-Nova,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620604
16E0605,Figueira da Foz,99.29,Figueira da Foz,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620605
16E0606,Góis,54.26,Góis,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640606
16E0607,Lousã,81.23,Lousã,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640607
16E0111,Mealhada,76.78,Mealhada,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1610111
16E0608,Mira,71.02,Mira,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620608
16E0609,Miranda do Corvo,65.89,Miranda do Corvo,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640609
16E0610,Montemor-o-Velho,65.37,Montemor-o-Velho,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620610
16E1808,Mortágua,59.65,Mortágua,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1651808
16E0611,Oliveira do Hospital,63.06,Oliveira do Hospital,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640611
16E0612,Pampilhosa da Serra,55.82,Pampilhosa da Serra,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640612
16E0613,Penacova,54.71,Penacova,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620613
16E0614,Penela,53.3,Penela,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640614
16E0615,Soure,66.05,Soure,Centro,Região de Coimbra,ACeS Baixo Mondego,Continente,Centro,1620615
16E0616,Tábua,55.94,Tábua,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640616
16E0617,Vila Nova de Poiares,67.92,Vila Nova de Poiares,Centro,Região de Coimbra,ACeS Pinhal Interior Norte,Continente,Centro,1640617
16F1002,Alvaiázere,60.26,Alvaiázere,Centro,Região de Leiria,ACeS Pinhal Interior Norte,Continente,Centro,1641002
16F1003,Ansião,64.69,Ansião,Centro,Região de Leiria,ACeS Pinhal Interior Norte,Continente,Centro,1641003
16F1004,Batalha,86.92,Batalha,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631004
16F1007,Castanheira de Pêra,61.62,Castanheira de Pêra,Centro,Região de Leiria,ACeS Pinhal Interior Norte,Continente,Centro,1641007
16F1008,Figueiró dos Vinhos,55.51,Figueiró dos Vinhos,Centro,Região de Leiria,ACeS Pinhal Interior Norte,Continente,Centro,1641008
16F1009,Leiria,99.32,Leiria,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631009
16F1010,Marinha Grande,104.76,Marinha Grande,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631010
16F1013,Pedrógão Grande,54.41,Pedrógão Grande,Centro,Região de Leiria,ACeS Pinhal Interior Norte,Continente,Centro,1641013
16F1015,Pombal,70.93,Pombal,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631015
16F1016,Porto de Mós,71.45,Porto de Mós,Centro,Região de Leiria,ACeS Pinhal Litoral,Continente,Centro,1631016
16G0901,Aguiar da Beira,49.92,Aguiar da Beira,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1650901
16G1802,Carregal do Sal,64.73,Carregal do Sal,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651802
16G1803,Castro Daire,53.15,Castro Daire,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651803
16G1806,Mangualde,71.39,Mangualde,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651806
16G1809,Nelas,68.14,Nelas,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651809
16G1810,Oliveira de Frades,63.42,Oliveira de Frades,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651810
16G1811,Penalva do Castelo,50.18,Penalva do Castelo,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651811
16G1814,Santa Comba Dão,66.29,Santa Comba Dão,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651814
16G1816,São Pedro do Sul,55.03,São Pedro do Sul,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651816
16G1817,Sátão,58.6,Sátão,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651817
16G1821,Tondela,61.07,Tondela,Centro,Viseu Dão Lafões,ACeS Dão Lafões,Continente,Centro,1651821
