"","geocod","geodsg","valor","municip","ars","nuts3","aces2","nuts1","nuts2","cod_geo_nuts2002","year","aggregation"
"148","16G1816","São Pedro do Sul",55.24,"São Pedro do Sul","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651816","2004","NUTSIII"
"149","16G1817","Sátão",53,"Sátão","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651817","2004","NUTSIII"
"150","16G1821","Tondela",60.04,"Tondela","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651821","2004","NUTSIII"
"151","16G1822","Vila Nova de Paiva",48.34,"Vila Nova de Paiva","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651822","2004","NUTSIII"
"152","16G1823","Viseu",89.77,"Viseu","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651823","2004","NUTSIII"
"153","16G1824","Vouzela",50.85,"Vouzela","Centro","Viseu Dão Lafões","ACeS Dão Lafões","Continente","Centro","1651824","2004","NUTSIII"
"154","16H0502","Castelo Branco",89.1,"Castelo Branco","Centro","Beira Baixa","ACeS Beira Interior Sul (ULS Castelo Branco)","Continente","Centro","1690502","2004","NUTSIII"
"155","16H0505","Idanha-a-Nova",54.45,"Idanha-a-Nova","Centro","Beira Baixa","ACeS Beira Interior Sul (ULS Castelo Branco)","Continente","Centro","1690505","2004","NUTSIII"
"156","16H0506","Oleiros",47.4,"Oleiros","Centro","Beira Baixa","ACeS Pinhal Interior Sul (ULS Castelo Branco)","Continente","Centro","1660506","2004","NUTSIII"
"157","16H0507","Penamacor",49.97,"Penamacor","Centro","Beira Baixa","ACeS Beira Interior Sul (ULS Castelo Branco)","Continente","Centro","1690507","2004","NUTSIII"
"158","16H0508","Proença-a-Nova",54.25,"Proença-a-Nova","Centro","Beira Baixa","ACeS Pinhal Interior Sul (ULS Castelo Branco)","Continente","Centro","1660508","2004","NUTSIII"
"159","16H0511","Vila Velha de Ródão",59.51,"Vila Velha de Ródão","Centro","Beira Baixa","ACeS Beira Interior Sul (ULS Castelo Branco)","Continente","Centro","1690511","2004","NUTSIII"
"160","16I1401","Abrantes",74.73,"Abrantes","Lisboa e Vale do Tejo","Médio Tejo","ACeS Médio Tejo","Continente","Centro","16C1401","2004","NUTSIII"
"161","16I1402","Alcanena",75.76,"Alcanena","Lisboa e Vale do Tejo","Médio Tejo","ACeS Médio Tejo","Continente","Centro","16C1402","2004","NUTSIII"
"162","16I1408","Constância",82.58,"Constância","Lisboa e Vale do Tejo","Médio Tejo","ACeS Médio Tejo","Continente","Centro","16C1408","2004","NUTSIII"
"163","16I1410","Entroncamento",105.8,"Entroncamento","Lisboa e Vale do Tejo","Médio Tejo","ACeS Médio Tejo","Continente","Centro","16C1410","2004","NUTSIII"
"164","16I1411","Ferreira do Zêzere",53.38,"Ferreira do Zêzere","Lisboa e Vale do Tejo","Médio Tejo","ACeS Médio Tejo","Continente","Centro","16C1411","2004","NUTSIII"
"165","16I1413","Mação",54.69,"Mação","Lisboa e Vale do Tejo","Médio Tejo","ACeS Médio Tejo","Continente","Centro","1661413","2004","NUTSIII"
"166","16I1421","Ourém",66.05,"Ourém","Lisboa e Vale do Tejo","Médio Tejo","ACeS Médio Tejo","Continente","Centro","16C1421","2004","NUTSIII"
"167","16I1417","Sardoal",64.64,"Sardoal","Lisboa e Vale do Tejo","Médio Tejo","ACeS Médio Tejo","Continente","Centro","16C1417","2004","NUTSIII"
"168","16I0509","Sertã",56.73,"Sertã","Centro","Médio Tejo","ACeS Pinhal Interior Sul (ULS Castelo Branco)","Continente","Centro","1660509","2004","NUTSIII"
"169","16I1418","Tomar",81.36,"Tomar","Lisboa e Vale do Tejo","Médio Tejo","ACeS Médio Tejo","Continente","Centro","16C1418","2004","NUTSIII"
"170","16I1419","Torres Novas",79.23,"Torres Novas","Lisboa e Vale do Tejo","Médio Tejo","ACeS Médio Tejo","Continente","Centro","16C1419","2004","NUTSIII"
"171","16I0510","Vila de Rei",50.8,"Vila de Rei","Centro","Médio Tejo","ACeS Pinhal Interior Sul (ULS Castelo Branco)","Continente","Centro","1660510","2004","NUTSIII"
"172","16I1420","Vila Nova da Barquinha",73.22,"Vila Nova da Barquinha","Lisboa e Vale do Tejo","Médio Tejo","ACeS Médio Tejo","Continente","Centro","16C1420","2004","NUTSIII"
"173","16J0902","Almeida",64.56,"Almeida","Centro","Beiras e Serra da Estrela","ULS Guarda","Continente","Centro","1680902","2004","NUTSIII"
