"","geocod","geodsg","valor","sinal_conv","sinal_conv_desc","municip","ars","nuts3","aces2","nuts1","nuts2","cod_geo_nuts2002","year","aggregation"
"66","11D1707","Murça",NA,"-","Dado nulo ou não aplicável","Murça","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1181707","1.º Semestre de 2018","NUTSIII"
"67","11D1812","Penedono",NA,"-","Dado nulo ou não aplicável","Penedono","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171812","1.º Semestre de 2018","NUTSIII"
"68","11D1708","Peso da Régua",3.28,"","","Peso da Régua","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171708","1.º Semestre de 2018","NUTSIII"
"69","11D1710","Sabrosa",NA,"-","Dado nulo ou não aplicável","Sabrosa","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171710","1.º Semestre de 2018","NUTSIII"
"70","11D1711","Santa Marta de Penaguião",NA,"-","Dado nulo ou não aplicável","Santa Marta de Penaguião","Norte","Douro","ACeS Marão e Douro Norte","Continente","Norte","1171711","1.º Semestre de 2018","NUTSIII"
"71","11D1815","São João da Pesqueira",NA,"-","Dado nulo ou não aplicável","São João da Pesqueira","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171815","1.º Semestre de 2018","NUTSIII"
"72","11D1818","Sernancelhe",NA,"-","Dado nulo ou não aplicável","Sernancelhe","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171818","1.º Semestre de 2018","NUTSIII"
"73","11D1819","Tabuaço",NA,"-","Dado nulo ou não aplicável","Tabuaço","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171819","1.º Semestre de 2018","NUTSIII"
"74","11D1820","Tarouca",NA,"-","Dado nulo ou não aplicável","Tarouca","Norte","Douro","ACeS Douro Sul","Continente","Norte","1171820","1.º Semestre de 2018","NUTSIII"
"75","11D0409","Torre de Moncorvo",NA,"-","Dado nulo ou não aplicável","Torre de Moncorvo","Norte","Douro","ULS Nordeste","Continente","Norte","1170409","1.º Semestre de 2018","NUTSIII"
