geocod,geodsg,dim_3_t,85 e mais anos,0 - 4 anos,20 - 24 anos,25 - 29 anos,15 - 19 anos,40 - 44 anos,5 - 9 anos,70 - 74 anos,45 - 49 anos,56 - 59 anos,10 - 14 anos,35 - 39 anos,60 - 65 anos,50 - 55 anos,65 - 69 anos,Total,30 - 34 anos,81 - 85 anos,75 - 80 anos,<1 ano,cod_geo,nivel_geo,cod_dicofre11,dicofre11_2,cod_nuts3,nuts3,cod_nuts2,nuts2,cod_nuts1,nuts1,cod_pais,pais,cod_tot,tot,cod_geo_nuts2002,cod_aces,aces1,aces2,cod_ars,ars
0306,Esposende,H,315,630,976,966,964,1354,813,865,1334,1197,905,1127,1115,1223,957,16789,932,364,615,137,1120306,4,'0306,306,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120306,108,CÁVADO III,ACeS Barcelos/Esposende,11,Norte
0306,Esposende,M,586,577,1013,954,943,1455,770,965,1496,1386,829,1218,1233,1396,1081,18343,1033,554,739,115,1120306,4,'0306,306,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120306,108,CÁVADO III,ACeS Barcelos/Esposende,11,Norte
0306,Esposende,HM,901,1207,1989,1920,1907,2809,1583,1830,2830,2583,1734,2345,2348,2619,2038,35132,1965,918,1354,252,1120306,4,'0306,306,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120306,108,CÁVADO III,ACeS Barcelos/Esposende,11,Norte
0310,Terras de Bouro,H,105,83,155,134,181,175,106,216,216,269,126,153,256,248,209,3074,134,125,164,19,1120310,4,'0310,310,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120310,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
0310,Terras de Bouro,M,209,64,157,144,148,189,91,247,226,274,141,180,252,245,226,3284,128,179,169,15,1120310,4,'0310,310,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120310,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
0310,Terras de Bouro,HM,314,147,312,278,329,364,197,463,442,543,267,333,508,493,435,6358,262,304,333,34,1120310,4,'0310,310,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120310,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
0313,Vila Verde,H,538,755,1346,1228,1369,1716,1070,1092,1737,1559,1175,1474,1432,1604,1230,22223,1231,644,840,183,1120313,4,'0313,313,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120313,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
0313,Vila Verde,M,1145,759,1375,1233,1279,1874,914,1268,1903,1702,1110,1596,1566,1700,1409,24221,1254,906,1066,162,1120313,4,'0313,313,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120313,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
0313,Vila Verde,HM,1683,1514,2721,2461,2648,3590,1984,2360,3640,3261,2285,3070,2998,3304,2639,46444,2485,1550,1906,345,1120313,4,'0313,313,112,Cávado,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1120313,107,CÁVADO II,ACeS Gerês/Cabreira,11,Norte
0304,Cabeceiras de Basto,H,225,224,463,436,478,504,338,344,577,562,381,448,587,576,482,7559,390,226,269,49,1190304,4,'0304,304,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1150304,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
0304,Cabeceiras de Basto,M,425,198,467,415,418,575,303,370,585,618,375,488,597,529,485,7999,404,342,356,49,1190304,4,'0304,304,119,Ave,'11,Norte,'1,Continente,PT,Portugal,TRUE,Total,1150304,104,ALTO AVE,ACeS Guimarães/Vizela/Terras de Basto,11,Norte
