geocod,geodsg,dim_3_t,municip,<1 ano,ars,nuts3,aces2,0 - 4 anos,5 - 9 anos,10 - 14 anos,15 - 19 anos,20 - 24 anos,25 - 29 anos,30 - 34 anos,35 - 39 anos,40 - 44 anos,45 - 49 anos,50 - 54 anos,55 - 59 anos,60 - 64 anos,65 - 69 anos,70 - 74 anos,75 - 80 anos,81 - 84 anos,85 e mais anos,Total
1304,Gondomar,M,Gondomar,605,Norte,Área Metropolitana do Porto,ACeS Gondomar,2523,3181,3739,4147,4499,4461,4676,5382,6148,6892,7021,6761,6463,5638,5108,3682,2700,2640,86266
1306,Maia,H,Maia,465,Norte,Área Metropolitana do Porto,ACeS Maia/Valongo,2236,3153,3576,3789,3739,3426,3667,4451,5114,5538,5020,4606,3976,3449,3168,2273,1452,1029,64127
1306,Maia,M,Maia,478,Norte,Área Metropolitana do Porto,ACeS Maia/Valongo,2234,2942,3397,3626,3638,3412,3846,4756,5722,6308,5751,5299,4676,4204,3838,2723,1948,2052,70850
1308,Matosinhos,H,Matosinhos,638,Norte,Área Metropolitana do Porto,ULS Matosinhos,2808,3556,4042,4174,4445,4578,4661,5431,5946,6337,5927,5925,5774,5271,4715,3297,2102,1598,81225
1308,Matosinhos,M,Matosinhos,588,Norte,Área Metropolitana do Porto,ULS Matosinhos,2682,3389,3931,3989,4346,4431,4929,5721,6660,7242,6834,7125,6946,6473,5651,4258,3008,3129,91332
0113,Oliveira de Azeméis,H,Oliveira de Azeméis,214,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,1018,1273,1468,1568,1865,1794,1792,1905,2257,2533,2595,2573,2389,2028,1781,1327,889,751,32020
0113,Oliveira de Azeméis,M,Oliveira de Azeméis,187,Norte,Área Metropolitana do Porto,ACeS Aveiro Norte,907,1245,1367,1613,1864,1612,1784,2034,2274,2694,2651,2817,2613,2230,2003,1620,1344,1296,34155
1310,Paredes,M,Paredes,324,Norte,Área Metropolitana do Porto,ACeS Vale do Sousa Sul,1358,1807,2249,2577,2642,2423,2414,2894,3506,3785,3638,3360,2857,2358,1889,1439,1076,916,43512
1310,Paredes,H,Paredes,356,Norte,Área Metropolitana do Porto,ACeS Vale do Sousa Sul,1451,1888,2260,2635,2836,2430,2371,2676,3179,3518,3292,3251,2585,2150,1643,1106,723,492,40842
1312,Porto,H,Porto,806,Norte,Área Metropolitana do Porto,ACeS Porto Ocidental e Porto Oriental,3570,4437,4653,5318,6443,7332,7260,7172,7201,7437,6909,7269,6843,6572,6041,4540,3378,2972,106153
